Tipo elemento,Logica,ID Classe,Classe,ID attributo,Tipologia,Nome attributo,Tipo attributo,Accessibilita,Visibilita,Argomenti,Valore,Riferimenti
classe,Stazione.LdS,1,MainClass_C1,1,stato FSM,stato,Enumerator:Stateenumerator,protetto,si,,,{30}
classe,Stazione.LdS,1,MainClass_C1,,parametro locale,mainclass_c1_parametro_p10,BasicType:Boolean,privato,no,,,
classe,Stazione.LdS,1,MainClass_C1,,parametro locale,mainclass_c1_parametro_p8,BasicType:Integer,privato,no,,,
classe,Stazione.LdS,1,MainClass_C1,,parametro locale,mainclass_c1_parametro_p9,Enumerator:Enumerator_3,privato,no,,,
classe,Stazione.LdS,1,MainClass_C1,13,variabile,mainclass_c1_previousva_pv1,Enumerator:Enumerator_2,pubblico,si,,,{14}
classe,Stazione.LdS,1,MainClass_C1,15,variabile,mainclass_c1_previousva_pv2,BasicType:Integer,pubblico,si,,,{16}
classe,Stazione.LdS,1,MainClass_C1,17,variabile,mainclass_c1_restoreva_rv1,BasicType:Integer,protetto,si,,,{18}
classe,Stazione.LdS,1,MainClass_C1,19,variabile,mainclass_c1_restoreva_rv2,Enumerator:Enumerator_1,pubblico,si,,,{20}
classe,Stazione.LdS,1,MainClass_C1,21,variabile,mainclass_c1_restoreva_rv3,BasicType:Boolean,privato,si,,,{22}
classe,Stazione.LdS,1,MainClass_C1,23,variabile,mainclass_c1_restoreva_rv4,BasicType:Boolean,protetto,si,,,{24}
classe,Stazione.LdS,1,MainClass_C1,25,variabile,mainclass_c1_restoreva_rv5,Enumerator:Enumerator_1,pubblico,si,,,{26}
classe,Stazione.LdS,1,MainClass_C1,27,variabile,mainclass_c1_variabile_v5,BasicType:Boolean,privato,si,,,{}
classe,Stazione.LdS,1,MainClass_C1,28,variabile,mainclass_c1_variabile_v6,Enumerator:Enumerator_3,pubblico,si,,,{}
classe,Stazione.LdS,1,MainClass_C1,29,variabile,mainclass_c1_variabile_v9,Enumerator:Enumerator_4,pubblico,si,,,{}
classe,Stazione.LdS,1,MainClass_C1,14,variabile precedente,mainclass_c1_previousva_pv1_prev,Enumerator:Enumerator_2,protetto,si,,,{13}
