Logica,ID Classe,Classe,Nome enumerazione,Tipologia,Valori
Stazione.LdS,1,MainClass_C1,Enumerator_0,insieme,{c75giallo=0;verde=1}
Stazione.LdS,1,MainClass_C1,Enumerator_1,insieme,{avanzamento=4;rosso=5}
Stazione.LdS,1,MainClass_C1,Enumerator_2,insieme,{giallox=8;gialloverde=9}
Stazione.LdS,1,MainClass_C1,Enumerator_3,insieme,{ac=12;c270xx=13}
Stazione.LdS,1,MainClass_C1,Enumerator_4,insieme,{rossogialloaverdea=16;gialloxverdex=17}
Stazione.LdS,2,SubClass_C2,Enumerator_0,insieme,{c270=2;rossogiallo=3}
Stazione.LdS,2,SubClass_C2,Enumerator_1,insieme,{rossogialloxverdex=6;rossogiallogiallo=7}
Stazione.LdS,2,SubClass_C2,Enumerator_2,insieme,{c270x=10;avviox=11}
Stazione.LdS,2,SubClass_C2,Enumerator_3,insieme,{c120=14;c180=15}
Stazione.LdS,2,SubClass_C2,Enumerator_4,insieme,{avvio=18;giallogiallo=19}
,,CommandResponse,Enum_response,insieme,{LDS_MANCMD_NOOP=0;LDS_MANCMD_PROCESSED=1;LDS_MANCMD_UNEXPECTED=2;LDS_MANCMD_BLOCKED=3}
Stazione.LdS,1,MainClass_C1,Stateenumerator,insieme,{state1=0;StatoIniziale=1}
Stazione.LdS,2,SubClass_C2,Stateenumerator,insieme,{state1=0;StatoIniziale=1}
,,Timer,TimerState,insieme,{Disattivo=0;Attivo=1;Scaduto=2}
