Logica,ID Classe,Classe,Nome enumerazione,Tipologia,Valori
Stazione.LdS,1,MainClass_C1,Enumerator_0,insieme,{gialloxverdex=0;c270x=1}
Stazione.LdS,1,MainClass_C1,Enumerator_1,insieme,{rossogialloxverdex=4;c120x=5}
Stazione.LdS,1,MainClass_C1,Enumerator_2,insieme,{gialloverde=8;ac=9}
Stazione.LdS,1,MainClass_C1,Enumerator_3,insieme,{verde=11;avanzamento=12}
Stazione.LdS,1,MainClass_C1,Enumerator_4,insieme,{avanzamentox=15;rossogialloverde=16}
Stazione.LdS,2,SubClass_C2,Enumerator_0,insieme,{giallogiallo=2;c270xx=3}
Stazione.LdS,2,SubClass_C2,Enumerator_1,insieme,{giallox=6;spento=7}
Stazione.LdS,2,SubClass_C2,Enumerator_2,insieme,{spento=7;rossogiallogiallo=10}
Stazione.LdS,2,SubClass_C2,Enumerator_3,insieme,{c180=13;rossogiallox=14}
Stazione.LdS,2,SubClass_C2,Enumerator_4,insieme,{c180x=17;rossogiallo=18}
,,CommandResponse,Enum_response,insieme,{LDS_MANCMD_NOOP=0;LDS_MANCMD_PROCESSED=1;LDS_MANCMD_UNEXPECTED=2;LDS_MANCMD_BLOCKED=3}
Stazione.LdS,1,MainClass_C1,Stateenumerator,insieme,{state1=0;StatoIniziale=1}
Stazione.LdS,2,SubClass_C2,Stateenumerator,insieme,{state1=0;StatoIniziale=1}
,,Timer,TimerState,insieme,{Disattivo=0;Attivo=1;Scaduto=2}
